chr	probe_start	probe_end	TargetID	DesignName	side	gene_name
chr15	44955198	44955318	SPG11:44955876:NM_001160227_refseq	Design4_Design5	L	SPG11
chr15	44956155	44956275	SPG11:44955876:NM_001160227_refseq	Design4_Design5	R	SPG11
chr15	44967389	44967509	PATL2:44969086:NM_001145112_refseq	Design4_Design5	L	PATL2
chr15	44969227	44969347	PATL2:44969086:NM_001145112_refseq	Design4_Design5	R	PATL2
chr15	45003493	45003613	B2M:45003684:NM_004048_refseq	Design4_Design5	L	B2M
chr15	45003835	45003955	B2M:45003684:NM_004048_refseq	Design4_Design5	R	B2M
chr15	45028098	45028218	TRIM69:45028559:NM_001301144_refseq	Design4_Design5	L	TRIM69
chr15	45028572	45028692	TRIM69:45028559:NM_001301144_refseq	Design4_Design5	R	TRIM69
chr15	45248738	45248858	C15orf43:45248899:NM_152448_refseq	Design4_Design5	L	C15orf43
chr15	45248993	45249113	C15orf43:45248899:NM_152448_refseq	Design4_Design5	R	C15orf43
chr15	45315462	45315582	SORD:45315301:NM_003104_refseq	Design4_Design5	R	SORD
chr15	45406273	45406393	DUOXA2:45406522:NM_207581_refseq	Design4_Design5	L	DUOXA2
chr15	45406818	45406938	DUOX2:45406359:NM_014080_refseq__DUOXA2:45406522:NM_207581_refseq	Design4_Design5	R	DUOX2
chr15	45413339	45413459	DUOXA1:45415241:NM_001276265_refseq	Design4_Design5	L	DUOXA1
chr15	45415485	45415605	DUOXA1:45415241:NM_001276265_refseq	Design4_Design5	R	DUOXA1
chr15	45421874	45421994	DUOX1:45422191:NM_017434_refseq__DUOXA1:45422075:NM_001276264_refseq	Design4_Design5	L	DUOX1
chr15	45422316	45422436	DUOX1:45422191:NM_017434_refseq__DUOXA1:45422075:NM_001276264_refseq	Design4_Design5	R	DUOX1
chr15	45473207	45473327	SHF:45473405:NM_001301171_refseq	Design4_Design5	L	SHF
chr15	45475051	45475171	SHF:45473405:NM_001301171_refseq	Design4_Design5	R	SHF
chr15	45479352	45479472	SHF:45480165:NM_001301168_refseq	Design4_Design5	L	SHF
chr15	45480448	45480568	SHF:45480165:NM_001301168_refseq	Design4_Design5	R	SHF
chr15	45492285	45492405	SHF:45493373:NM_138356_refseq	Design4_Design5	L	SHF
chr15	45493584	45493704	SHF:45493373:NM_138356_refseq	Design4_Design5	R	SHF
chr15	45542539	45542659	SLC28A2:45544427:NM_004212_refseq	Design4_Design5	L	SLC28A2
chr15	45544528	45544648	SLC28A2:45544427:NM_004212_refseq	Design4_Design5	R	SLC28A2
chr15	45670586	45670706	GATM:45670980:NM_001482_refseq	Design4_Design5	L	GATM
chr15	45671322	45671442	GATM:45670980:NM_001482_refseq	Design4_Design5	R	GATM
chr15	45693866	45693986	SPATA5L1:45694518:NM_024063_refseq	Design4_Design5	L	SPATA5L1
chr15	45694526	45694646	SPATA5L1:45694518:NM_024063_refseq	Design4_Design5	R	SPATA5L1
chr15	45724920	45725040	MIR147B:45725247:NR_030599_refseq	Design4_Design5	L	MIR147B
chr15	45725335	45725455	MIR147B:45725247:NR_030599_refseq	Design4_Design5	R	MIR147B
chr15	45803123	45803243	HMGN2P46:45803333:NR_022014_refseq	Design4_Design5	L	HMGN2P46
chr15	45814035	45814155	SLC30A4:45815002:NM_013309_refseq	Design4_Design5	L	SLC30A4
chr15	45815207	45815327	SLC30A4:45815002:NM_013309_refseq	Design4_Design5	R	SLC30A4
chr15	45878971	45879091	BLOC1S6:45879416:NM_012388_refseq	Design4_Design5	L	BLOC1S6
chr15	45879936	45880056	BLOC1S6:45879416:NM_012388_refseq	Design4_Design5	R	BLOC1S6
chr15	45922145	45922265	SQRDL:45923345:NM_001271213_refseq	Design4_Design5	L	SQRDL
chr15	45923648	45923768	SQRDL:45923345:NM_001271213_refseq	Design4_Design5	R	SQRDL
chr15	45927209	45927329	SQRDL:45926937:NM_021199_refseq	Design4_Design5	R	SQRDL
chr15	47475281	47475401	SEMA6D:47476402:NM_001198999_refseq	Design4_Design5	L	SEMA6D
chr15	47476914	47477034	SEMA6D:47476402:NM_001198999_refseq	Design4_Design5	R	SEMA6D
chr15	48007645	48007765	rs8028579:48005470:rs8028579_Coronary_artery_calcification_gwas	Design4_Design5	R	rs8028579
chr15	48008772	48008892	SEMA6D:48010685:NM_020858_refseq	Design4_Design5	L	SEMA6D
chr15	48138231	48138351	LINC01491:48138433:NR_120336_refseq	Design4_Design5	L	LINC01491
chr15	48138439	48138559	LINC01491:48138433:NR_120336_refseq	Design4_Design5	R	LINC01491
chr15	48411832	48411952	SLC24A5:48413168:NM_205850_refseq	Design4_Design5	L	SLC24A5
chr15	48413400	48413520	SLC24A5:48413168:NM_205850_refseq	Design4_Design5	R	SLC24A5
chr15	48469103	48469223	MYEF2:48470558:NM_001301210_refseq	Design4_Design5	L	MYEF2
chr15	48472471	48472591	MYEF2:48470558:NM_001301210_refseq	Design4_Design5	R	MYEF2
chr15	48481730	48481850	CTXN2:48483866:NM_001145668_refseq	Design4_Design5	L	CTXN2
chr15	48484457	48484577	CTXN2:48483866:NM_001145668_refseq	Design4_Design5	R	CTXN2
chr15	48498238	48498358	SLC12A1:48498497:NM_000338_refseq	Design4_Design5	L	SLC12A1
chr15	48499003	48499123	SLC12A1:48498497:NM_000338_refseq	Design4_Design5	R	SLC12A1
chr15	48623107	48623227	DUT:48623620:NM_001025248_refseq	Design4_Design5	L	DUT
chr15	48625581	48625701	DUT:48623620:NM_001025248_refseq	Design4_Design5	R	DUT
chr15	48937338	48937458	FBN1:48937985:NM_000138_refseq	Design4_Design5	L	FBN1
chr15	48938039	48938159	FBN1:48937985:NM_000138_refseq	Design4_Design5	R	FBN1
chr15	49103221	49103341	CEP152:49103343:NM_001194998_refseq	Design4_Design5	L	CEP152
chr15	49103423	49103543	CEP152:49103343:NM_001194998_refseq	Design4_Design5	R	CEP152
chr15	49169930	49170050	EID1:49170289:NM_014335_refseq	Design4_Design5	L	EID1
chr15	49170725	49170845	EID1:49170289:NM_014335_refseq	Design4_Design5	R	EID1
chr15	49255098	49255218	SHC4:49255641:NM_203349_refseq	Design4_Design5	L	SHC4
chr15	49255705	49255825	SHC4:49255641:NM_203349_refseq	Design4_Design5	R	SHC4
chr15	49337670	49337790	SECISBP2L:49338760:NM_001193489_refseq	Design4_Design5	L	SECISBP2L
chr15	49338878	49338998	SECISBP2L:49338760:NM_001193489_refseq	Design4_Design5	R	SECISBP2L
chr15	49446843	49446963	NDUFAF4P1:49448494:NR_036507_refseq	Design4_Design5	L	NDUFAF4P1
chr15	49459276	49459396	MIR4716:49461350:NR_039866_refseq	Design4_Design5	L	MIR4716
chr15	49462390	49462510	GALK2:49462212:NM_001289030_refseq__MIR4716:49461350:NR_039866_refseq	Design4_Design5	R	GALK2
chr15	49715236	49715356	FGF7:49715374:NM_002009_refseq	Design4_Design5	L	FGF7
chr15	49716401	49716521	FGF7:49715374:NM_002009_refseq	Design4_Design5	R	FGF7
chr15	49912872	49912992	DTWD1:49913225:NM_001144955_refseq	Design4_Design5	L	DTWD1
chr15	49913347	49913467	DTWD1:49913225:NM_001144955_refseq	Design4_Design5	R	DTWD1
chr15	50404565	50404685	ATP8B4:50405513:NR_073598_refseq	Design4_Design5	L	ATP8B4
chr15	50411245	50411365	ATP8B4:50411419:NM_024837_refseq	Design4_Design5	L	ATP8B4
chr15	50473689	50473809	SLC27A2:50474392:NM_001159629_refseq	Design4_Design5	L	SLC27A2
chr15	50474998	50475118	SLC27A2:50474392:NM_001159629_refseq	Design4_Design5	R	SLC27A2
chr15	50557621	50557741	HDC:50558162:NM_002112_refseq	Design4_Design5	L	HDC
chr15	50646481	50646601	GABPB1-AS1:50646370:NR_024490_refseq	Design4_Design5	R	GABPB1-AS1
chr15	50647482	50647602	GABPB1:50647605:NM_002041_refseq	Design4_Design5	L	GABPB1
chr15	50838656	50838776	USP50:50838902:NM_203494_refseq	Design4_Design5	L	USP50
chr15	50839146	50839266	USP50:50838902:NM_203494_refseq	Design4_Design5	R	USP50
chr15	50978141	50978261	TRPM7:50979012:NM_001301212_refseq	Design4_Design5	L	TRPM7
chr15	50979164	50979284	TRPM7:50979012:NM_001301212_refseq	Design4_Design5	R	TRPM7
chr15	51056174	51056294	SPPL2A:51057910:NM_032802_refseq	Design4_Design5	L	SPPL2A
chr15	51235662	51235782	DCAF13P3:51236325:NR_027642_refseq	Design4_Design5	L	DCAF13P3
chr15	51236334	51236454	DCAF13P3:51236325:NR_027642_refseq	Design4_Design5	R	DCAF13P3
chr15	51396024	51396144	TNFAIP8L3:51397473:NM_207381_refseq	Design4_Design5	L	TNFAIP8L3
chr15	51397505	51397625	TNFAIP8L3:51397473:NM_207381_refseq	Design4_Design5	R	TNFAIP8L3
chr15	51534245	51534365	MIR4713:51534386:NR_039863_refseq	Design4_Design5	L	MIR4713
chr15	51534739	51534859	MIR4713:51534386:NR_039863_refseq	Design4_Design5	R	MIR4713
chr15	51606017	51606137	MIR7973-1:51606230:NR_107012_refseq__MIR7973-2:51606304:NR_107013_refseq	Design4_Design5	L	MIR7973-1
chr15	51607975	51608095	MIR7973-1:51606230:NR_107012_refseq__MIR7973-2:51606304:NR_107013_refseq	Design4_Design5	R	MIR7973-1
chr15	51633453	51633573	GLDN:51633712:NM_181789_refseq	Design4_Design5	L	GLDN
chr15	51634721	51634841	GLDN:51633712:NM_181789_refseq	Design4_Design5	R	GLDN
chr15	51791105	51791225	RF5443500_Exon_L1:51791292:RF5443500_Exon_L1_exon_negctrl	Design4_Design5	L	RF5443500_Exon_L1
chr15	51791412	51791532	RF5443500_Exon_L1:51791292:RF5443500_Exon_L1_exon_negctrl	Design4_Design5	R	RF5443500_Exon_L1
chr15	51846609	51846729	RF5443638_Intron_L1:51847583:RF5443638_Intron_L1_intron_negctrls	Design4_Design5	L	RF5443638_Intron_L1
chr15	51914107	51914227	DMXL2:51914967:NM_001174116_refseq	Design4_Design5	L	DMXL2
chr15	51915653	51915773	DMXL2:51914967:NM_001174116_refseq	Design4_Design5	R	DMXL2
chr15	51967816	51967936	rs17525472:51969668:rs17525472_All_Ast_gwas	Design4_Design5	L	rs17525472
chr15	51969698	51969818	rs17525472:51969668:rs17525472_All_Ast_gwas	Design4_Design5	R	rs17525472
chr15	52029249	52029369	LYSMD2:52030320:NM_153374_refseq	Design4_Design5	L	LYSMD2
chr15	52031599	52031719	LYSMD2:52030320:NM_153374_refseq	Design4_Design5	R	LYSMD2
chr15	52042142	52042262	LYSMD2:52043650:NM_001143917_refseq__TMOD2:52043757:NM_001142885_refseq	Design4_Design5	L	LYSMD2
chr15	52044265	52044385	LYSMD2:52043650:NM_001143917_refseq__TMOD2:52043757:NM_001142885_refseq	Design4_Design5	R	LYSMD2
chr15	52120839	52120959	TMOD3:52121824:NM_014547_refseq	Design4_Design5	L	TMOD3
chr15	52122409	52122529	TMOD3:52121824:NM_014547_refseq	Design4_Design5	R	TMOD3
chr15	52310920	52311040	MAPK6:52311410:NM_002748_refseq	Design4_Design5	L	MAPK6
chr15	52312370	52312490	MAPK6:52311410:NM_002748_refseq	Design4_Design5	R	MAPK6
chr15	52403986	52404106	BCL2L10:52404972:NM_020396_refseq	Design4_Design5	L	BCL2L10
chr15	52471662	52471782	GNB5:52472162:NM_006578_refseq	Design4_Design5	L	GNB5
chr15	52472532	52472652	GNB5:52472162:NM_006578_refseq	Design4_Design5	R	GNB5
chr15	52483756	52483876	GNB5:52483565:NM_016194_refseq	Design4_Design5	R	GNB5
chr15	52568075	52568195	MIR1266:52569397:NR_031670_refseq	Design4_Design5	L	MIR1266
chr15	52570597	52570717	MIR1266:52569397:NR_031670_refseq	Design4_Design5	R	MIR1266
chr15	52586860	52586980	MYO5C:52587995:NM_018728_refseq	Design4_Design5	L	MYO5C
chr15	52820598	52820718	MYO5A:52821247:NM_000259_refseq	Design4_Design5	L	MYO5A
chr15	52821693	52821813	MYO5A:52821247:NM_000259_refseq	Design4_Design5	R	MYO5A
chr15	52859250	52859370	ARPP19:52861213:NM_006628_refseq	Design4_Design5	L	ARPP19
chr15	52861686	52861806	ARPP19:52861213:NM_006628_refseq	Design4_Design5	R	ARPP19
chr15	52900856	52900976	RF5446545_Exon_L1:52901619:RF5446545_Exon_L1_exon_negctrl	Design4_Design5	L	RF5446545_Exon_L1
chr15	52901838	52901958	RF5446545_Exon_L1:52901619:RF5446545_Exon_L1_exon_negctrl	Design4_Design5	R	RF5446545_Exon_L1
chr15	53072936	53073056	ONECUT1:53073081:NR_073510_refseq	Design4_Design5	L	ONECUT1
chr15	53073195	53073315	ONECUT1:53073081:NR_073510_refseq	Design4_Design5	R	ONECUT1
chr15	53082083	53082203	ONECUT1:53082209:NM_004498_refseq	Design4_Design5	L	ONECUT1
chr15	53831038	53831158	WDR72:53833300:NM_001277176_refseq	Design4_Design5	L	WDR72
chr15	54303025	54303145	UNC13C:54305100:NM_001080534_refseq	Design4_Design5	L	UNC13C
chr15	54305104	54305224	UNC13C:54305100:NM_001080534_refseq	Design4_Design5	R	UNC13C
chr15	55488751	55488871	RSL24D1:55489231:NM_016304_refseq	Design4_Design5	L	RSL24D1
chr15	55534169	55534289	rs2444043:55534342:rs2444043_All_gwas	Design4_Design5	L	rs2444043
chr15	55535156	55535276	rs2444043:55534342:rs2444043_All_gwas	Design4_Design5	R	rs2444043
chr15	55581668	55581788	RAB27A:55582013:NM_183235_refseq	Design4_Design5	L	RAB27A
chr15	55583809	55583929	RAB27A:55582013:NM_183235_refseq	Design4_Design5	R	RAB27A
chr15	55609884	55610004	PIGB:55611132:NM_004855_refseq	Design4_Design5	L	PIGB
chr15	55612355	55612475	PIGB:55611132:NM_004855_refseq	Design4_Design5	R	PIGB
chr15	55665089	55665209	MIR628:55665232:NR_030358_refseq	Design4_Design5	L	MIR628
chr15	55665519	55665639	MIR628:55665232:NR_030358_refseq	Design4_Design5	R	MIR628
chr15	55699897	55700017	C15orf65:55700722:NM_001198784_refseq__CCPG1:55700708:NM_001204450_refseq	Design4_Design5	L	C15orf65
chr15	55790225	55790345	DYX1C1-CCPG1:55790782:NR_037923_refseq	Design4_Design5	L	DYX1C1-CCPG1
chr15	55880056	55880176	PYGO1:55881050:NM_015617_refseq	Design4_Design5	L	PYGO1
chr15	55881116	55881236	PYGO1:55881050:NM_015617_refseq	Design4_Design5	R	PYGO1
chr15	56034474	56034594	PRTG:56035317:NM_173814_refseq	Design4_Design5	L	PRTG
chr15	56035984	56036104	PRTG:56035317:NM_173814_refseq	Design4_Design5	R	PRTG
chr15	56209074	56209194	NEDD4:56209329:NM_001284338_refseq	Design4_Design5	L	NEDD4
chr15	56210691	56210811	NEDD4:56209329:NM_001284338_refseq	Design4_Design5	R	NEDD4
chr15	56229724	56229844	RF5454678_Intron_L1:56230215:RF5454678_Intron_L1_intron_negctrls	Design4_Design5	L	RF5454678_Intron_L1
chr15	56284353	56284473	NEDD4:56285944:NM_006154_refseq	Design4_Design5	L	NEDD4
chr15	56286265	56286385	NEDD4:56285944:NM_006154_refseq	Design4_Design5	R	NEDD4
chr15	56382131	56382251	rs16976734:56382295:rs16976734_leukemia_gwas	Design4_Design5	L	rs16976734
chr15	56382437	56382557	rs16976734:56382295:rs16976734_leukemia_gwas	Design4_Design5	R	rs16976734
chr15	56535336	56535456	RFX7:56535483:NM_022841_refseq	Design4_Design5	L	RFX7
chr15	56536994	56537114	RFX7:56535483:NM_022841_refseq	Design4_Design5	R	RFX7
chr15	56657837	56657957	TEX9:56657621:NM_001286449_refseq	Design4_Design5	R	TEX9
chr15	56757871	56757991	MNS1:56757335:NM_018365_refseq	Design4_Design5	R	MNS1
chr15	57024985	57025105	ZNF280D:57026284:NM_001002843_refseq	Design4_Design5	L	ZNF280D
chr15	57026760	57026880	ZNF280D:57026284:NM_001002843_refseq	Design4_Design5	R	ZNF280D
chr15	57210470	57210590	TCF12:57210832:NM_003205_refseq	Design4_Design5	L	TCF12
chr15	57211266	57211386	TCF12:57210832:NM_003205_refseq	Design4_Design5	R	TCF12
chr15	57511207	57511327	TCF12:57511654:NM_207040_refseq	Design4_Design5	L	TCF12
chr15	57592012	57592132	LINC00926:57592562:NR_024433_refseq	Design4_Design5	L	LINC00926
chr15	57592812	57592932	LINC00926:57592562:NR_024433_refseq	Design4_Design5	R	LINC00926
chr15	57609550	57609670	LINC01413:57611335:NR_120337_refseq	Design4_Design5	L	LINC01413
chr15	57612898	57613018	LINC01413:57611335:NR_120337_refseq	Design4_Design5	R	LINC01413
chr15	57668885	57669005	CGNL1:57668702:NM_001252335_refseq	Design4_Design5	R	CGNL1
chr15	57829177	57829297	RF5458633_Intron_L1:57829617:RF5458633_Intron_L1_intron_negctrls	Design4_Design5	L	RF5458633_Intron_L1
chr15	57829850	57829970	RF5458633_Intron_L1:57829617:RF5458633_Intron_L1_intron_negctrls	Design4_Design5	R	RF5458633_Intron_L1
chr15	57883875	57883995	GCOM1:57884101:NM_001018090_refseq__MYZAP:57884101:NM_001018100_refseq	Design4_Design5	L	GCOM1
chr15	57884834	57884954	GCOM1:57884101:NM_001018090_refseq__MYZAP:57884101:NM_001018100_refseq	Design4_Design5	R	GCOM1
chr15	57909657	57909777	rs937254:57910164:rs937254_Coronary_heart_disease_gwas	Design4_Design5	L	rs937254
chr15	57910184	57910304	rs937254:57910164:rs937254_Coronary_heart_disease_gwas	Design4_Design5	R	rs937254
chr15	57998851	57998971	POLR2M:57998718:NM_001018102_refseq	Design4_Design5	R	POLR2M
chr15	58211049	58211169	rs1550576:58213414:rs1550576_Hypertension_gwas	Design4_Design5	L	rs1550576
chr15	58213965	58214085	rs1550576:58213414:rs1550576_Hypertension_gwas	Design4_Design5	R	rs1550576
chr15	58305128	58305248	ALDH1A2:58306295:NM_170697_refseq	Design4_Design5	L	ALDH1A2
chr15	58306360	58306480	ALDH1A2:58306295:NM_170697_refseq	Design4_Design5	R	ALDH1A2
chr15	58357665	58357785	ALDH1A2:58358121:NM_001206897_refseq	Design4_Design5	L	ALDH1A2
chr15	58358503	58358623	ALDH1A2:58358121:NM_001206897_refseq	Design4_Design5	R	ALDH1A2
chr15	58429976	58430096	AQP9:58430407:NM_020980_refseq	Design4_Design5	L	AQP9
chr15	58430863	58430983	AQP9:58430407:NM_020980_refseq	Design4_Design5	R	AQP9
chr15	58679994	58680114	rs10468017:58678512:rs10468017_Cardiovascular_disease_risk_factors_gwas	Design4_Design5	R	rs10468017
chr15	58683010	58683130	rs1532085:58683366:rs1532085_Cholesterol,_total_gwas	Design4_Design5	L	rs1532085
chr15	58723611	58723731	LIPC:58724174:NM_000236_refseq	Design4_Design5	L	LIPC
chr15	58724516	58724636	LIPC:58724174:NM_000236_refseq	Design4_Design5	R	LIPC
chr15	58984853	58984973	HSP90AB4P:58985806:NR_073415_refseq	Design4_Design5	L	HSP90AB4P
chr15	58985263	58985383	HSP90AB4P:58985806:NR_073415_refseq	Design4_Design5	L	HSP90AB4P
chr15	59041787	59041907	ADAM10:59042177:NM_001110_refseq	Design4_Design5	L	ADAM10
chr15	59225698	59225818	SLTM:59225852:NM_001013843_refseq	Design4_Design5	L	SLTM
chr15	59226538	59226658	SLTM:59225852:NM_001013843_refseq	Design4_Design5	R	SLTM
chr15	59279479	59279599	RNF111:59279864:NM_001270528_refseq	Design4_Design5	L	RNF111
chr15	59280044	59280164	RNF111:59279864:NM_001270528_refseq	Design4_Design5	R	RNF111
chr15	59397679	59397799	CCNB2:59397283:NM_004701_refseq	Design4_Design5	R	CCNB2
chr15	59461358	59461478	MIR2116:59463461:NR_031750_refseq	Design4_Design5	L	MIR2116
chr15	59463731	59463851	MIR2116:59463461:NR_031750_refseq	Design4_Design5	R	MIR2116
chr15	59498846	59498966	LDHAL6B:59499014:NM_033195_refseq	Design4_Design5	L	LDHAL6B
chr15	59499255	59499375	LDHAL6B:59499014:NM_033195_refseq	Design4_Design5	R	LDHAL6B
chr15	59515173	59515293	rs2306780:59515446:rs2306780_GM12878_C_gwas	Design4_Design5	L	rs2306780
chr15	59515734	59515854	rs2306780:59515446:rs2306780_GM12878_C_gwas	Design4_Design5	R	rs2306780
chr15	59663921	59664041	MYO1E:59665071:NM_004998_refseq	Design4_Design5	L	MYO1E
chr15	59665087	59665207	MYO1E:59665071:NM_004998_refseq	Design4_Design5	R	MYO1E
chr15	59903751	59903871	GCNT3:59903981:NM_004751_refseq	Design4_Design5	L	GCNT3
chr15	59904696	59904816	GCNT3:59903981:NM_004751_refseq	Design4_Design5	R	GCNT3
chr15	59949486	59949606	GTF2A2:59949737:NM_004492_refseq	Design4_Design5	L	GTF2A2
chr15	59981161	59981281	BNIP2:59981642:NM_004330_refseq	Design4_Design5	L	BNIP2
chr15	59981728	59981848	BNIP2:59981642:NM_004330_refseq	Design4_Design5	R	BNIP2
chr15	60295411	60295531	FOXB1:60296420:NM_012182_refseq	Design4_Design5	L	FOXB1
chr15	60296872	60296992	FOXB1:60296420:NM_012182_refseq	Design4_Design5	R	FOXB1
chr15	60690719	60690839	ANXA2:60690185:NM_001002857_refseq	Design4_Design5	R	ANXA2
chr15	60770794	60770914	ICE2:60771359:NM_001018089_refseq__RORA-AS1:60771376:NR_120339_refseq	Design4_Design5	L	ICE2
chr15	60884399	60884519	RORA:60884707:NM_134262_refseq	Design4_Design5	L	RORA
chr15	60919181	60919301	RORA:60919729:NM_002943_refseq	Design4_Design5	L	RORA
chr15	60921746	60921866	RORA:60919729:NM_002943_refseq	Design4_Design5	R	RORA
chr15	60972704	60972824	RORA-AS2:60973767:NR_120318_refseq	Design4_Design5	L	RORA-AS2
chr15	60974535	60974655	RORA-AS2:60973767:NR_120318_refseq	Design4_Design5	R	RORA-AS2
chr15	61069763	61069883	rs11071559:61069988:rs11071559_Ast_gwas	Design4_Design5	L	rs11071559
chr15	61070012	61070132	rs11071559:61069988:rs11071559_Ast_gwas	Design4_Design5	R	rs11071559
chr15	61163422	61163542	rs1902618:61164199:rs1902618_All_Ast_gwas	Design4_Design5	L	rs1902618
chr15	61520741	61520861	RORA:61521502:NM_134261_refseq	Design4_Design5	L	RORA
chr15	61522130	61522250	RORA:61521502:NM_134261_refseq	Design4_Design5	R	RORA
chr15	62352267	62352387	VPS13C:62352664:NM_001018088_refseq	Design4_Design5	L	VPS13C
chr15	62352920	62353040	VPS13C:62352664:NM_001018088_refseq	Design4_Design5	R	VPS13C
chr15	62358352	62358472	C2CD4A:62359175:NM_207322_refseq	Design4_Design5	L	C2CD4A
chr15	62359641	62359761	C2CD4A:62359175:NM_207322_refseq	Design4_Design5	R	C2CD4A
chr15	62457286	62457406	C2CD4B:62457482:NM_001007595_refseq	Design4_Design5	L	C2CD4B
chr15	62596008	62596128	MIR8067:62596933:NR_107034_refseq	Design4_Design5	L	MIR8067
chr15	62597691	62597811	MIR8067:62596933:NR_107034_refseq	Design4_Design5	R	MIR8067
chr15	62635321	62635441	MIR6085:62635227:NR_106733_refseq	Design4_Design5	R	MIR6085
chr15	62935817	62935937	MGC15885:62937380:NR_026897_refseq	Design4_Design5	L	MGC15885
chr15	62939660	62939780	TLN2:62939509:NM_015059_refseq	Design4_Design5	R	TLN2
chr15	63115923	63116043	MIR190A:63116155:NR_029709_refseq	Design4_Design5	L	MIR190A
chr15	63116492	63116612	MIR190A:63116155:NR_029709_refseq	Design4_Design5	R	MIR190A
chr15	63333645	63333765	TPM1:63334837:NM_000366_refseq	Design4_Design5	L	TPM1
chr15	63334969	63335089	TPM1:63334837:NM_000366_refseq	Design4_Design5	R	TPM1
chr15	63341301	63341421	rs11071720:63341996:rs11071720_Mean_platelet_volume_gwas	Design4_Design5	L	rs11071720
chr15	63342799	63342919	rs11071720:63341996:rs11071720_Mean_platelet_volume_gwas	Design4_Design5	R	rs11071720
chr15	63414304	63414424	LACTB:63413998:NM_001288585_refseq	Design4_Design5	R	LACTB
chr15	63449606	63449726	RPS27L:63449741:NM_015920_refseq	Design4_Design5	L	RPS27L
chr15	63481101	63481221	RAB8B:63481727:NM_016530_refseq	Design4_Design5	L	RAB8B
chr15	63481745	63481865	RAB8B:63481727:NM_016530_refseq	Design4_Design5	R	RAB8B
chr15	63569369	63569489	APH1B:63569748:NM_001145646_refseq	Design4_Design5	L	APH1B
chr15	63569959	63570079	APH1B:63569748:NM_001145646_refseq	Design4_Design5	R	APH1B
chr15	63674164	63674284	CA12:63674309:NM_001218_refseq	Design4_Design5	L	CA12
chr15	63796219	63796339	USP3:63796709:NM_001256702_refseq	Design4_Design5	L	USP3
chr15	63797784	63797904	USP3:63796709:NM_001256702_refseq	Design4_Design5	R	USP3
chr15	63887090	63887210	FBXL22:63889551:NM_203373_refseq	Design4_Design5	L	FBXL22
chr15	63892170	63892290	USP3-AS1:63893026:NR_034080_refseq	Design4_Design5	L	USP3-AS1
chr15	63893438	63893558	USP3-AS1:63893026:NR_034080_refseq	Design4_Design5	R	USP3-AS1
chr15	64123781	64123901	HERC1:64126147:NM_003922_refseq	Design4_Design5	L	HERC1
chr15	64126716	64126836	HERC1:64126147:NM_003922_refseq	Design4_Design5	R	HERC1
chr15	64162687	64162807	MIR422A:64163218:NR_029944_refseq	Design4_Design5	L	MIR422A
chr15	64338378	64338498	DAPK2:64338521:NM_014326_refseq	Design4_Design5	L	DAPK2
chr15	64387384	64387504	SNX1:64388082:NM_001242933_refseq	Design4_Design5	L	SNX1
chr15	64388187	64388307	SNX1:64388082:NM_001242933_refseq	Design4_Design5	R	SNX1
chr15	64443497	64443617	SNX22:64443915:NM_024798_refseq	Design4_Design5	L	SNX22
chr15	64444694	64444814	SNX22:64443915:NM_024798_refseq	Design4_Design5	R	SNX22
chr15	64454848	64454968	PPIB:64455354:NM_000942_refseq	Design4_Design5	L	PPIB
chr15	64456424	64456544	PPIB:64455354:NM_000942_refseq	Design4_Design5	R	PPIB
chr15	64525153	64525273	RF5475820_Intron_L1:64526295:RF5475820_Intron_L1_intron_negctrls	Design4_Design5	L	RF5475820_Intron_L1
chr15	64648072	64648192	CSNK1G1:64648442:NM_022048_refseq	Design4_Design5	L	CSNK1G1
chr15	64648512	64648632	CSNK1G1:64648442:NM_022048_refseq	Design4_Design5	R	CSNK1G1
chr15	64673513	64673633	KIAA0101:64673709:NM_001029989_refseq	Design4_Design5	L	KIAA0101
chr15	64673838	64673958	KIAA0101:64673709:NM_001029989_refseq	Design4_Design5	R	KIAA0101
chr15	64679107	64679227	KIAA0101:64679886:NR_109934_refseq__TRIP4:64680002:NM_016213_refseq	Design4_Design5	L	KIAA0101
chr15	64680038	64680158	KIAA0101:64679886:NR_109934_refseq__TRIP4:64680002:NM_016213_refseq	Design4_Design5	R	KIAA0101
chr15	64791058	64791178	ZNF609:64791618:NM_015042_refseq	Design4_Design5	L	ZNF609
chr15	64791622	64791742	ZNF609:64791618:NM_015042_refseq	Design4_Design5	R	ZNF609
chr15	64994386	64994506	OAZ2:64995480:NM_001301302_refseq	Design4_Design5	L	OAZ2
chr15	64995745	64995865	OAZ2:64995480:NM_001301302_refseq	Design4_Design5	R	OAZ2
chr15	65052547	65052667	MIR1272:65054714:NR_031674_refseq	Design4_Design5	L	MIR1272
chr15	65055382	65055502	MIR1272:65054714:NR_031674_refseq	Design4_Design5	R	MIR1272
chr15	65066735	65066855	RBPMS2:65067770:NM_194272_refseq	Design4_Design5	L	RBPMS2
chr15	65068158	65068278	RBPMS2:65067770:NM_194272_refseq	Design4_Design5	R	RBPMS2
chr15	65118104	65118224	PIF1:65117867:NM_001286496_refseq	Design4_Design5	R	PIF1
chr15	65133376	65133496	PLEKHO2:65134081:NM_001195059_refseq	Design4_Design5	L	PLEKHO2
chr15	65134265	65134385	PLEKHO2:65134081:NM_001195059_refseq	Design4_Design5	R	PLEKHO2
